Month,Year,Production,Emergent, , , 
Jan,Dos,0,0.646911686,,,
Feb,Dos,6.085665334,1.023000222,,,
Mar,Dos,37.81048884,0.766793472,,,
Apr,Dos,0,0.172000871,,,
May,Dos,0,0.401435314,,,
Jun,Dos,6.085665334,2.740801861,,,
Jul,Dos,111.1511229,0.635598055,,,
Aug,Dos,3.72818664,0.886580764,,,
Sep,Dos,50.63614675,0.428991614,,,
Oct,Dos,31.71623101,0.528515201,,,
Nov,Dos,2.193564288,0,,,
Dec,Dos,34.9920362,0.905516972,,,
Jan,tres,214.8904798,1.341939656,,,
Feb,tres,0,1.31695446,,,
Mar,tres,0,0.553762942,,,
Apr,tres,3.541777308,0.720109525,,,
May,tres,25.63915817,0.154004525,,,
Jun,tres,3.40679124,0,,,
Jul,tres,3.02111676,0,,,
Aug,tres,8.551015249,0.342908755,,,
Sep,tres,0,0.520812378,,,
Oct,tres,68.52615245,0.416393427,,,
Nov,tres,35.78001141,0.626100841,,,
Dec,tres,0,0,,,
